state,records,cities,stations,date_min,date_max,all_pollutants_missing_n,all_pollutants_missing_pct,Ozone_missing_pct,CO_missing_pct,SO2_missing_pct,NO2_missing_pct,PM10_missing_pct,PM2.5_missing_pct
Gujarat,9490,4,13,2021-08-01,2023-07-31,1615,17.017913593256058,22.929399367755533,18.946259220231823,20.42149631190727,26.606954689146473,22.244467860906216,18.68282402528978
Maharashtra,48180,28,66,2021-08-01,2023-07-31,29385,60.99003735990037,64.94811124948112,62.78331257783313,62.467828974678284,62.121212121212125,62.6961394769614,63.80863428808634
Odisha,5110,7,7,2021-08-01,2023-07-31,3374,66.02739726027397,66.08610567514677,66.10567514677103,66.32093933463796,67.31898238747553,66.36007827788649,66.24266144814091
